timestamp,username,page,details
2025-11-15T06:55:02.796Z,gwragg,Login,User logged in
2025-11-15T06:55:03.137Z,gwragg,/,Visited main site
2025-11-15T06:55:12.453Z,gwragg,/page1,Visited page 1
2025-11-15T06:55:22.294Z,gwragg,/,Visited main site
2025-11-15T06:55:33.822Z,gwragg,Logout,Total session duration: 0h 0m 31s
2025-11-15T07:04:01.591Z,gwragg,Login,User logged in
2025-11-15T07:04:03.306Z,gwragg,/,Visited main site
2025-11-15T07:08:01.271Z,gwragg,/,Visited main site
2025-11-15T07:11:01.401Z,gwragg,Login,User logged in
2025-11-15T07:11:01.798Z,gwragg,/,Visited main site
2025-11-15T07:19:35.567Z,beli,Login,User logged in
2025-11-15T07:19:35.909Z,beli,/,Visited main site
2025-11-15T07:24:21.028Z,beli,Login,User logged in
2025-11-15T07:24:21.077Z,beli,/,Visited main site
